vehicle_id,dealer_type,stock_type,mileage,price,model_year,make,model,certified,transmission_from_vin,fuel_type_from_vin,number_price_changes
175,I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,0
176,I,USED,6000,76300,2024,Lexus,TX-Series,0,A,Gas,8
177,I,NEW,0,83040,2024,Lexus,TX-Series,0,A,Gas,0
178,I,NEW,0,86460,2024,Lexus,TX-Series,0,A,Gas,0
179,I,NEW,0,72038,2024,Lexus,TX-Series,0,A,Gas,0
180,I,NEW,0,74785,2024,Lexus,TX-Series,0,A,Gas,1
181,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
182,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,6
183,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,4
184,I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
185,I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
186,I,NEW,0,74840,2024,Lexus,TX-Series,0,A,Gas,0
187,I,NEW,0,75340,2024,Lexus,TX-Series,0,A,Gas,1
188,I,USED,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
189,I,NEW,0,85040,2024,Lexus,TX-Series,0,A,Gas,0
190,I,NEW,0,72036,2024,Lexus,TX-Series,0,A,Gas,0
191,I,NEW,0,72090,2024,Lexus,TX-Series,0,A,Gas,0
192,I,NEW,0,72538,2024,Lexus,TX-Series,0,A,Gas,0
193,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
194,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
195,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
196,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
197,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
198,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,0
199,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,2
200,I,NEW,0,74786,2024,Lexus,TX-Series,0,A,Gas,2
201,I,NEW,0,74788,2024,Lexus,TX-Series,0,A,Gas,0
202,I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,0
203,I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,1
204,I,NEW,0,75040,2024,Lexus,TX-Series,0,A,Gas,1
205,I,NEW,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
206,I,NEW,2000,76888,2024,Lexus,TX-Series,0,A,Gas,0
207,I,NEW,0,85040,2024,Lexus,TX-Series,0,A,Gas,0
208,I,NEW,0,87488,2024,Lexus,TX-Series,0,A,Hybrid,0
209,I,USED,7061,89888,2024,Lexus,TX-Series,0,A,Hybrid,0
210,I,NEW,0,92900,2024,Lexus,TX-Series,0,A,Hybrid,0
211,I,NEW,0,93540,2024,Lexus,TX-Series,0,A,Hybrid,0
212,F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
213,F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
214,F,NEW,90,72580,2024,Lexus,TX-Series,0,A,Gas,0
215,F,NEW,90,77770,2024,Lexus,TX-Series,0,A,Gas,1
216,F,USED,2950,91348,2024,Lexus,TX-Series,0,A,Gas,1
217,F,USED,11840,68988,2024,Lexus,TX-Series,0,A,Gas,5
218,F,USED,8450,69988,2024,Lexus,TX-Series,0,A,Gas,2
219,F,NEW,90,72076,2024,Lexus,TX-Series,0,A,Gas,0
220,F,NEW,90,72076,2024,Lexus,TX-Series,0,A,Gas,2
221,F,NEW,90,72080,2024,Lexus,TX-Series,0,A,Gas,0
222,F,NEW,90,74826,2024,Lexus,TX-Series,0,A,Gas,7
223,F,NEW,90,74830,2024,Lexus,TX-Series,0,A,Gas,0
224,F,NEW,90,78275,2024,Lexus,TX-Series,0,A,Gas,0
225,F,NEW,2953,91348,2024,Lexus,TX-Series,0,A,Gas,9
226,F,NEW,90,87530,2024,Lexus,TX-Series,0,A,Hybrid,0
227,F,USED,5282,97957,2024,Lexus,TX-Series,0,A,Hybrid,4
228,F,NEW,4804,97953,2024,Lexus,TX-Series,0,A,Hybrid,4
229,I,NEW,3210,50679,2024,Lexus,UX-Series,0,A,Hybrid,4
230,I,NEW,3210,50679,2024,Lexus,UX-Series,0,A,Hybrid,5
231,F,USED,3210,49679,2024,Lexus,UX-Series,0,A,Hybrid,2
232,F,NEW,3485,50915,2024,Lexus,UX-Series,0,A,Hybrid,1
233,F,USED,9224,50915,2024,Lexus,UX-Series,0,A,Hybrid,11
234,F,USED,10026,50915,2024,Lexus,UX-Series,0,A,Hybrid,13
235,F,USED,1315,51417,2024,Lexus,UX-Series,0,A,Hybrid,2
236,F,USED,1801,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
237,F,USED,2682,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
238,F,USED,2863,51417,2024,Lexus,UX-Series,0,A,Hybrid,0
239,F,NEW,1315,51427,2024,Lexus,UX-Series,0,A,Hybrid,8
240,F,NEW,2626,51427,2024,Lexus,UX-Series,0,A,Hybrid,8
241,F,NEW,3127,51427,2024,Lexus,UX-Series,0,A,Hybrid,10
242,F,USED,1214,51567,2024,Lexus,UX-Series,0,A,Hybrid,0
243,F,USED,2914,51567,2024,Lexus,UX-Series,0,A,Hybrid,2
244,F,NEW,3471,51567,2024,Lexus,UX-Series,0,A,Hybrid,7
245,F,USED,9365,56915,2024,Lexus,UX-Series,0,A,Hybrid,2
246,F,USED,13432,47915,2024,Lexus,UX-Series,0,A,Hybrid,3
247,I,NEW,0,49486,2024,Lexus,UX-Series,0,A,Hybrid,2
248,I,NEW,0,49486,2024,Lexus,UX-Series,0,A,Hybrid,0
249,I,USED,4441,51900,2024,Lexus,UX-Series,0,A,Hybrid,1
250,I,USED,5400,52450,2024,Lexus,UX-Series,0,A,Hybrid,0
251,F,NEW,1320,49672,2024,Lexus,UX-Series,0,A,Hybrid,8
252,F,NEW,90,50021,2024,Lexus,UX-Series,0,A,Hybrid,3
253,F,NEW,90,52307,2024,Lexus,UX-Series,0,A,Hybrid,8
254,F,USED,10298,48989,2024,Lexus,UX-Series,0,A,Hybrid,1
255,I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
256,I,NEW,57,93345,2024,Lincoln,Aviator,0,A,Gas,0
257,I,NEW,106,93345,2024,Lincoln,Aviator,0,A,Gas,0
258,I,NEW,57,93345,2024,Lincoln,Aviator,0,A,Gas,0
259,F,NEW,39,93794,2024,Lincoln,Aviator,0,A,Gas,1
260,F,NEW,37,94844,2024,Lincoln,Aviator,0,A,Gas,0
261,F,NEW,39,93794,2024,Lincoln,Aviator,0,A,Gas,1
